,StudentID,CourseID,comments
86,27,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
87,27,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
88,28,COS10001,
89,28,STA10001,This student currently has low attendance rate compared to other students.
90,29,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
91,29,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
92,30,COS10001,This student currently has low attendance rate compared to other students.
93,30,STA10001,
94,31,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
95,31,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
96,31,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
97,31,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
98,32,COS10001,
99,32,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
100,32,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
101,33,COS10001,
102,33,STA10001,This student currently has low attendance rate compared to other students.
103,33,STA20001,
104,34,COS10001,
105,34,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
106,34,STA20001,
107,34,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
108,35,COS10001,This student currently has low attendance rate compared to other students.
109,35,STA10001,This student currently has low attendance rate compared to other students.
110,36,COS10001,This student currently has low attendance rate compared to other students.
111,36,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
112,36,STA20001,
113,37,COS10001,This student has a lower grade compared to his/her average of previous units.
114,37,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
115,38,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
116,38,STA10001,This student currently has low attendance rate compared to other students.
117,38,STA20001,
118,39,COS10001,This student currently has low attendance rate compared to other students.
119,39,STA10001,
120,39,STA20001,
121,39,STA30001,
122,40,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
123,40,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
124,40,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
125,40,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
126,41,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
127,41,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
128,41,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
129,41,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
130,42,COS10001,This student currently has low attendance rate compared to other students.
131,42,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
132,42,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
133,43,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
134,43,STA10001,This student has a lower grade compared to his/her average of previous units.
135,44,COS10001,
136,44,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
137,45,COS10001,This student currently has low attendance rate compared to other students.
138,45,STA10001,This student currently has low attendance rate compared to other students.
139,46,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
140,46,STA10001,This student has a lower grade compared to his/her average of previous units.
141,47,COS10001,This student currently has low attendance rate compared to other students.
142,47,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
143,47,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
144,47,STA30001,This student currently has low attendance rate compared to other students.
145,48,COS10001,
146,48,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
147,48,STA20001,This student currently has low attendance rate compared to other students.
148,48,STA30001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
149,49,COS10001,"This student has a lower grade compared to his/her average of previous units.
This student might be overloaded with many units."
150,49,STA10001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
151,49,STA20001,"This student has a lower grade compared to his/her average of previous units.
This student currently has low attendance rate compared to other students."
152,50,COS10001,This student has a lower grade compared to his/her average of previous units.
153,50,STA10001,This student has a lower grade compared to his/her average of previous units.
